学生ID,综合GPA
1351e2a8ee9140935e5e,3.51265668869
6dfd920349b8a916ac22,3.43735647202
2180875a7b5c7dda9718,3.6367046833
ef1a837655081da642e6,3.4440176487
8890952ff9a4e20993c9,2.81245088577
ed1f9062e86a79c7a2af,3.57879734039
1cf7548cc40b0b79f64e,3.03737187386
031bd3bb008fb4f2c112,3.55138683319
fefcaf838ab0e8212dfd,3.01298952103
9168ab8d7845669a2127,3.55127453804
f101cb94b348c2205ad6,3.43344330788
b16b6ed24e53f9fea4dd,3.36880779266
e8ee570ea57f4b778139,3.44341564178
5bb54454cc5efad653b9,3.45089101791
9222399166e4c44b283d,3.12624573708
7e059d4e198ccf274add,3.25589442253
6bda9c2b8a031cfe4803,3.11711072922
2d9baf59b9c182420aef,3.34977936745
daea515547958f68fe05,3.46718239784
093ca7c821652c08240e,3.26483368874
38a0e9d389400ae2c264,3.06437039375
424f122d6bbaf7c74875,3.41535663605
12e5361247ada675ad0b,3.43959140778
f7526c4b0544a70f581e,3.01891636848
a4aa551a9c98177255e3,3.43209791183
e3d01867f48e5ecfd3d2,3.50964689255
fa7f80a5d945943e12d6,3.38857913017
304492d18a311aba8111,3.59534668922
426ad57c0a9a3222c1b5,3.48943781853
b666761dd6fc0c0be18d,3.38159823418
7bbb8eea0dd7d0de5a59,3.43442153931
adab9018092caf697aec,3.56610918045
ffc348c87d06e6408336,3.38503193855
69a2186136e1155f3c1c,3.22174525261
62f22a4e6b783dcebfcc,3.20838975906
276ba370b101f605b53a,3.19984221458
6f7347f6eed315786869,3.67785644531
93f11e5c0bf33b5248ff,3.44631743431
34f0c17b7a9f78536dbd,3.3753464222
5d78924134f8a62a8cb2,3.45518612862
6aa9b40b0892845670c3,2.93069410324
cc637c88352211aaecc9,3.1192779541
9bfe7b6e13443cc7346c,3.39812850952
7b66b76aac857824b75a,3.49539327621
311061291a8a0d341365,3.39119958878
44b53c165b6aa2ccd535,3.01779317856
304d8513b85b2c35210e,3.53442192078
8769068b2c46220454c4,3.47790718079
bc29208a3bfd2ea49d2c,3.49660158157
4ba3813bf8bd5d313590,3.47909545898
b20b5976497a1ffeebe6,3.35429024696
75ace52f4f0b7823d978,3.33757257462
dcaab860589bdf558a95,3.30973362923
d4b4d0d3f0b9f12ad853,3.4117641449
591be0bd000288c3d4b6,3.56603622437
9da36a4e77afa0c9f60f,3.41140818596
7b7f9fc08d73390cc657,3.55324530602
171a6bebfc01a134f2e0,3.45759725571
40dc29f67d3a0ea205e4,3.05886507034
5d3c194be290f2c96d77,3.33617544174
4fb57d342dff7129a443,3.24020195007
8dccb5cd67bdc8cc18cd,3.52933812141
1fd103e8be8beaf4b38e,3.60882329941
40b1a18c6ace2fef73a2,3.04401707649
78b5f15022b9debd33e4,3.36821985245
9bb5593589a9cf2ebb47,3.42852210999
61576e7b94178311e67d,3.02360606194
105afdef86e986ef71fc,3.11410737038
71e36ceb820c052c9e79,3.52203321457
6769267e12182afa549a,3.50987672806
7aea3090c4e2934cf740,3.44534683228
e745d03ea97e80b218d9,3.28225684166
180d0eb23bebb3beeeba,3.34548854828
235a38131ca4c3b83ba6,3.41878390312
7940328321deeef0cf0b,3.65182924271
eda94f427518b218ca92,3.14014554024
8993df6c2e410dbdb754,3.31948113441
598a18338c72fa41f2ce,3.35538578033
762a0e7f473488afd977,3.03921341896
366960eca914f11a9ca9,3.32761311531
6058363b49731b7b47d9,3.40700078011
3608b9cfbdb821ac0ae5,3.15497350693
4719ab8e0d1c1381f1e2,3.254591465
3d5ec8b2cdf122ef075e,3.47234034538
ec26dbc067bbaf6b079e,3.21658539772
d0ea71633b479a1528d3,3.18069219589
e692478d4822fc13d931,3.22134423256
971e495b8a2ee5afcf6f,3.20902061462
dbe83b6fbc611a84cf78,3.03128290176
3e2855149848b6774a19,3.4979903698
e45f891a35ec8e66d989,2.99179887772
a56700354881812b5bdd,3.48658394814
1533afb2e9e8c7eb8695,3.50311040878
